Distro, Score
Test, 1196
Test::META, 523
JSON::Tiny, 276
JSON::Fast, 243
File::Directory::Tree, 220
File::Find, 192
File::Temp, 166
Data::Dump, 152
NativeCall, 136
Sparrowdo, 134
LibraryMake, 124
YAMLish, 122
Test::When, 120
Terminal::ANSIColor, 114
Pod::To::Markdown, 110
HTTP::UserAgent, 97
URI, 96
Gnome::N, 90
Shell::Command, 90
UUID, 88
META6, 87
Base64, 84
XML, 84
Cro::Core, 82
DBIish, 80
OO::Monitors, 70
MIME::Base64, 66
p6doc, 63
HTTP::Status, 62
IO::Capture::Simple, 62
Cro::HTTP, 57
Distribution::Builder::MakeFromJSON, 56
Hash::Merge, 55
OpenSSL, 54
Config, 51
CPAN::Uploader::Tiny:ver(v0.0.4 .. *), 50
Digest, 48
NativeHelpers::Array, 46
Method::Also, 46
Sparrow6, 45
NativeLibs, 44
DateTime::Format, 44
IO::Socket::Async::SSL, 43
JSON::Pretty, 42
CPAN::Uploader::Tiny, 41
Gnome::Glib, 39
DB::Pg, 39
Template::Mustache, 37
File::Which, 36
Math::Libgsl::Constants, 34
Zef, 34
Testo, 34
IO::Socket::SSL, 34
TAP, 34
Gnome::GObject, 32
Bailador, 32
Red, 32
HTTP::Headers, 32
Digest::HMAC, 31
Text::Wrap, 30
scan-upBin, 30
nqp, 30
Crypt::Random, 29
P5tie, 28
HTML::Escape, 28
JSON::Class, 28
NativeHelpers::Blob, 28
FindBin, 28
Cro, 28
URI::Encode, 27
Config::INI, 26
URI::Escape, 26
Config::Simple, 25
Test::Output, 25
File::Ignore, 24
Path::Iterator, 24
Chart::Gnuplot::CustomBuilder, 24
LibraryCheck, 24
Random::Names, 24
Zef::Fetch, 24
HTTP::Easy, 23
IRC::Client, 23
IO::Blob, 22
Template6, 22
Apache::LogFormat::Compiler, 22
Terminal::Print, 22
Digest::SHA, 22
Getopt::Long, 22
P5localtime, 22
Cro::HTTP::Router, 20
Docker::File, 20
PDF::Content, 20
Zef::Service::Shell::curl, 20
SemVer, 20
Log, 20
Zef::Extract, 20
Term::termios, 20
zef, 20
Algorithm::LibSVM::CustomBuilder, 20
DateTime::Parse, 20
Zef::Service::Shell::tar, 20
Zef::Service::Shell::wget, 20
Zef::Service::Shell::p5tar, 20
LWP::Simple, 19
